customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
7590-VHVEG,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.85,29.85,0
5575-GNVDE,1,0,0,0,34,0,0,0,1,0,1,0,0,0,1,0,3,56.95,1936.3000000000002,0
3668-QPYBK,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,3,53.85,107.7,1
7795-CFOCW,1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.3,1903.4999999999998,0
9237-HQITU,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,70.7,141.4,1
9305-CDSKC,0,0,0,0,8,0,1,1,0,0,1,0,1,1,0,1,2,99.65,797.2,1
1452-KIOVK,1,0,0,0,22,0,1,1,0,1,0,0,1,0,0,1,1,89.1,1960.1999999999998,0
6713-OKOMC,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,297.5,0
7892-POOKP,0,0,0,0,28,0,1,1,0,0,1,1,1,1,0,1,2,104.8,2934.4,1
6388-TABGU,1,0,0,0,62,0,0,0,1,1,0,0,0,0,1,0,0,56.15,3481.2999999999997,0
9763-GRSKD,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,1,3,49.95,649.35,0
7469-LKBCI,1,0,0,0,16,0,0,2,0,0,0,0,0,0,2,0,1,18.95,303.2,0
8091-TTVAX,1,0,0,0,58,0,1,1,0,0,1,0,1,1,1,0,1,100.35,5820.299999999999,0
0280-XJGEX,1,0,0,0,49,0,1,1,0,1,1,0,1,1,0,1,0,103.7,5081.3,1
5129-JLPIS,1,0,0,0,25,0,0,1,1,0,1,1,1,1,0,1,2,105.5,2637.5,0
3655-SNQYZ,0,0,0,0,69,0,1,1,1,1,1,1,1,1,2,0,1,113.25,7814.25,0
8191-XWSZG,0,0,0,0,52,0,0,2,0,0,0,0,0,0,1,0,3,20.65,1073.8,0
9959-WOFKT,1,0,0,0,71,0,1,1,1,0,1,0,1,1,2,0,0,106.7,7575.7,0
4190-MFLUW,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,1,55.2,552.0,1
4183-MYFRB,0,0,0,0,21,0,0,1,0,1,1,0,0,1,0,1,2,90.05,1891.05,0
8779-QRDMV,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.65,39.65,1
1680-VDCWW,1,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,0,19.8,237.60000000000002,0
1066-JKSGK,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,20.15,20.15,1
3638-WEABW,0,0,0,0,58,0,1,0,0,1,0,1,0,0,2,1,1,59.9,3474.2,0
6322-HRPFA,1,0,0,0,49,0,0,0,1,1,0,1,0,0,0,0,1,59.6,2920.4,0
6865-JZNKO,0,0,0,0,30,0,0,0,1,1,0,0,0,0,0,1,0,55.3,1659.0,0
6467-CHFZW,1,0,0,0,47,0,1,1,0,1,0,0,1,1,0,1,2,99.35,4669.45,1
8665-UTDHZ,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,30.2,30.2,1
5248-YGIJN,1,0,0,0,72,0,1,0,1,1,1,1,1,1,2,1,1,90.25,6498.0,0
8773-HHUOZ,0,0,0,0,17,0,0,0,0,0,0,0,1,1,0,1,3,64.7,1099.9,1
3841-NFECX,0,1,0,0,71,0,1,1,1,1,1,1,0,0,2,1,1,96.35,6840.849999999999,0
4929-XIHVW,1,1,0,0,2,0,0,1,0,0,1,0,1,1,0,1,1,95.5,191.0,0
6827-IEAUQ,0,0,0,0,27,0,0,0,1,1,1,1,0,0,1,0,3,66.15,1786.0500000000002,0
7310-EGVHZ,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,20.2,20.2,0
3413-BMNZE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0
6234-RAAPL,0,0,0,0,72,0,1,1,1,1,0,1,1,0,2,0,0,99.9,7192.8,0
6047-YHPVI,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,2,69.7,348.5,1
6572-ADKRS,0,0,0,0,46,0,0,1,0,0,1,0,0,0,0,1,1,74.8,3440.7999999999997,0
5380-WJKOV,1,0,0,0,34,0,1,1,0,1,1,0,1,1,0,1,2,106.35,3615.8999999999996,1
8168-UQWWF,0,0,0,0,11,0,1,1,0,0,1,0,1,1,0,1,0,97.85,1076.35,1
8865-TNMNX,1,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,3,49.55,495.5,0
9489-DEDVP,0,0,0,0,70,0,1,0,1,1,0,0,1,0,2,1,1,69.2,4844.0,0
9867-JCZSP,0,0,0,0,17,0,0,2,0,0,0,0,0,0,1,0,3,20.75,352.75,0
4671-VJLCL,0,0,0,0,63,0,1,0,1,1,1,1,1,0,2,1,1,79.85,5030.549999999999,0
4080-IIARD,0,0,0,0,13,0,1,0,1,1,0,1,1,0,0,1,2,76.2,990.6,0
3714-NTNFO,0,0,0,0,49,0,1,1,0,0,0,0,0,1,0,1,2,84.5,4140.5,0
5948-UJZLF,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,49.25,98.5,0
7760-OYPDY,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,2,80.65,161.3,1
7639-LIAYI,1,0,0,0,52,0,1,0,1,0,0,1,1,1,2,1,1,79.75,4147.0,0
2954-PIBKO,0,0,0,0,69,0,1,0,1,0,1,1,0,0,2,1,1,64.15,4426.35,0
8012-SOUDQ,0,1,0,0,43,0,1,1,0,1,0,0,1,0,0,1,2,90.25,3880.75,0
9420-LOJKX,0,0,0,0,15,0,0,1,1,1,0,0,1,1,0,1,1,99.1,1486.5,1
6575-SUVOI,0,1,0,0,25,0,1,0,1,0,0,1,1,0,0,1,1,69.5,1737.5,0
7495-OOKFY,0,1,0,0,8,0,1,1,0,1,0,0,0,0,0,1,1,80.65,645.2,1
4667-QONEA,0,1,0,0,60,0,0,0,1,1,1,1,0,1,1,1,1,74.85,4491.0,0
1658-BYGOY,1,1,0,0,18,0,1,1,0,0,0,0,1,1,0,1,2,95.45,1718.1000000000001,1
8769-KKTPH,0,0,0,0,63,0,1,1,1,0,0,0,1,1,1,1,1,99.65,6277.950000000001,0
5067-XJQFU,1,1,0,0,66,0,1,1,0,1,1,1,1,1,1,1,2,108.45,7157.7,0
3957-SQXML,0,0,0,0,34,0,1,2,0,0,0,0,0,0,2,0,1,24.95,848.3,0
5954-BDFSG,0,0,0,0,72,0,1,1,0,0,1,1,1,1,2,1,1,107.5,7740.0,0
0434-CSFON,0,0,0,0,47,0,1,1,0,0,1,0,1,1,0,1,2,100.5,4723.5,0
1215-FIGMP,1,0,0,0,60,0,1,1,0,1,0,0,1,0,0,1,0,89.9,5394.0,0
0526-SXDJP,1,0,0,0,72,0,0,0,1,1,1,0,0,0,2,0,0,42.1,3031.2000000000003,0
0557-ASKVU,0,0,0,0,18,0,0,0,0,0,1,1,0,0,1,1,1,54.4,979.1999999999999,0
5698-BQJOH,0,0,0,0,9,0,1,1,0,0,0,0,1,1,0,0,2,94.4,849.6,1
5122-CYFXA,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,1,2,75.3,225.89999999999998,0
8627-ZYGSZ,1,0,0,0,47,0,1,1,0,1,0,0,0,0,1,1,2,78.9,3708.3,0
3410-YOQBQ,0,0,0,0,31,0,0,0,0,1,1,1,1,1,2,0,3,79.2,2455.2000000000003,0
